City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,qaisumah,28.3112,46.1273,34.98,11,0,4.12,SA,1691038457
132,manokwari,-0.8667,134.0833,28.01,73,93,1.71,ID,1691038457
133,siniscola,40.5719,9.6922,23.75,63,0,2.04,IT,1691038458
134,puqi,29.7167,113.8833,34.23,60,99,1.48,CN,1691038459
135,antanifotsy,-19.65,47.3167,10.76,83,27,3.58,MG,1691038460
136,santa cruz,-17.8,-63.1667,21.7,83,0,2.57,BO,1691038460
137,phanat nikhom,13.4458,101.1844,32.95,64,100,6.44,TH,1691038461
138,college,64.8569,-147.8028,25.99,41,75,3.6,US,1691038461
139,swakopmund,-22.6833,14.5333,11.66,89,0,1.34,NA,1691038462
140,khandyga,62.6667,135.6,21.89,46,47,0.95,RU,1691038463
141,palmer,42.1584,-72.3287,15.5,81,0,0.0,US,1691038463
142,cooma,-36.2333,149.1333,16.41,39,9,5.71,AU,1691038464
143,colonia,50.9333,6.95,17.2,82,93,0.45,DE,1691038176
144,hengshui,37.7322,115.7011,34.2,61,0,6.57,CN,1691038465
145,semenivka,52.1783,32.5818,20.19,76,17,1.68,UA,1691038427
146,cockburn town,21.4612,-71.1419,28.59,74,86,4.45,TC,1691038466
147,taoudenni,22.6783,-3.9836,38.51,8,31,2.13,ML,1691038467
148,'ali al gharbi,32.4633,46.6864,42.72,8,0,9.56,IQ,1691038468
149,pangoa,-12.1167,-73.0,20.33,73,87,1.53,PE,1691038468
150,new norfolk,-42.7826,147.0587,18.84,49,99,3.9,AU,1691038469
151,kismayo,-0.3582,42.5454,25.33,77,100,7.5,SO,1691038469
152,mejit,10.2753,170.8646,28.43,78,11,6.35,MH,1691038470
153,belmonte,-15.8631,-38.8828,20.29,82,0,1.48,BR,1691038470
154,nelson bay,-32.7167,152.15,21.72,66,0,7.6,AU,1691038471
155,karoi,-16.8099,29.6925,9.23,87,1,3.12,ZW,1691038472
156,badger,64.8,-147.5333,25.95,42,0,3.6,US,1691038472
157,ouricuri,-7.8825,-40.0817,21.14,88,60,3.1,BR,1691038473
158,sorong,-0.8833,131.25,28.04,79,25,3.12,ID,1691038474
159,colares,38.7992,-9.4469,19.31,75,13,9.83,PT,1691038474
160,magadan,59.5667,150.8,18.63,75,100,1.66,RU,1691038475
161,lokomotivnyy,53.0118,60.5684,18.56,82,15,3.58,RU,1691038476
162,yeosu,34.7546,127.6599,29.99,66,20,3.3,KR,1691038476
163,talnakh,69.4865,88.3972,20.67,21,16,0.89,RU,1691038477
164,lebu,-37.6167,-73.65,6.89,74,12,7.63,CL,1691038477
165,st. john's,47.5649,-52.7093,16.66,93,100,5.14,CA,1691038412
166,saint-pierre,-21.3393,55.4781,24.2,83,100,9.26,RE,1691038478
167,petropavlovka,50.6114,105.3196,19.77,81,100,2.62,RU,1691038479
168,marquette,46.5333,-87.6335,19.54,93,0,0.89,US,1691038385
169,hawaiian paradise park,19.5933,-154.9731,26.73,79,40,2.06,US,1691038480
170,queenstown,-31.8976,26.8753,6.04,52,0,2.81,ZA,1691038085
171,tual,-5.6667,132.75,26.27,83,28,7.58,ID,1691038481
172,harstad,68.799,16.5293,19.66,75,100,10.73,NO,1691038482
173,talitsy,56.5289,42.3344,20.41,83,33,1.79,RU,1691038482
174,qoryooley,1.7878,44.53,24.72,78,100,6.21,SO,1691038483
175,thinadhoo,0.5333,72.9333,27.84,72,64,2.5,MV,1691038484
176,camiri,-20.05,-63.5167,16.48,61,0,1.0,BO,1691038484
177,vakarai,55.6035,23.8213,17.29,65,93,5.52,LT,1691038485
178,inhambane,-23.865,35.3833,16.99,82,75,5.36,MZ,1691038486
179,crane,31.3974,-102.3501,30.42,30,5,7.41,US,1691038468
180,ancud,-41.8697,-73.8203,3.75,76,36,1.39,CL,1691038487
181,ulanhot,46.0833,122.0833,24.16,84,90,5.24,CN,1691038488
182,punta arenas,-53.15,-70.9167,4.17,91,100,11.65,CL,1691038489
183,solok,-0.7918,100.6593,27.53,51,95,0.89,ID,1691038490
184,chinu,9.1057,-75.3981,24.5,91,0,2.44,CO,1691038360
185,sanjwal,33.7608,72.4336,34.16,50,28,2.2,PK,1691038491
186,port mathurin,-19.6833,63.4167,23.49,76,9,5.82,MU,1691038492
187,nagqu,31.5,92.0,13.92,55,86,1.04,CN,1691038493
188,kabansk,52.0486,106.6528,16.37,98,100,1.04,RU,1691038494
189,rio san juan,19.6439,-70.0763,25.64,86,99,1.44,DO,1691038495
190,rabo de peixe,37.8,-25.5833,22.73,94,75,2.06,PT,1691038495
191,sisimiut,66.9395,-53.6735,5.27,92,97,0.34,GL,1691038496
192,nova sintra,14.8667,-24.7167,22.37,82,74,3.02,CV,1691038496
193,usinsk,65.9939,57.5281,22.67,58,0,1.39,RU,1691038497
194,la gi,10.6667,107.7833,29.21,75,100,6.89,VN,1691038497
195,ibiza,38.9088,1.433,28.45,86,20,6.69,ES,1691038238
196,udachny,66.4167,112.4,10.25,66,66,7.33,RU,1691038499
197,klyuchi,52.2667,79.1667,31.43,30,96,3.17,RU,1691038499
198,racine,42.7495,-88.0751,22.46,85,86,1.37,US,1691038500
199,rajula,21.05,71.4333,28.41,73,99,8.08,IN,1691038500
200,hue,16.4667,107.6,31.06,74,75,2.06,VN,1691038501
201,tadine,-21.55,167.8833,20.37,72,100,10.54,NC,1691038501
202,zhangjiakou,40.81,114.8794,32.07,57,90,1.08,CN,1691038502
203,labytnangi,66.6572,66.4183,22.92,51,0,7.82,RU,1691038503
204,victorica,-36.2151,-65.4359,7.84,34,39,2.53,AR,1691038503
205,katsuren-haebaru,26.3369,127.8719,29.01,89,100,7.72,JP,1691038504
206,sur,22.5667,59.5289,34.07,50,46,1.14,OM,1691038504
207,chinde,26.8418,88.0763,22.9,82,100,2.81,NP,1691038505
208,machakos,-1.5167,37.2667,15.97,83,98,0.83,KE,1691038506
209,las terrenas,19.311,-69.5428,25.48,90,99,1.56,DO,1691038506
210,ulsteinvik,62.3432,5.8487,17.09,86,97,4.02,NO,1691038507
211,atafu village,-8.5421,-172.5159,28.37,76,68,5.02,TK,1691038509
212,galliano,29.4422,-90.2992,27.0,88,54,0.0,US,1691038510
213,mhamid,29.82,-5.72,31.06,15,0,2.99,MA,1691038510
214,bangassou,4.7413,22.8184,20.07,99,100,0.66,CF,1691038511
215,betio village,1.358,172.9211,31.02,70,73,2.02,KI,1691038511
216,san rafael,-34.6177,-68.3301,8.12,41,6,2.15,AR,1691038513
217,mayya,61.7333,130.2811,22.62,38,14,1.12,RU,1691038513
218,bantay,17.5847,120.3892,29.98,75,100,9.96,PH,1691038514
219,puerto armuelles,8.2833,-82.8667,27.83,70,100,1.34,PA,1691038309
220,yssingeaux,45.1333,4.1167,13.7,74,66,3.4,FR,1691038516
221,opuwo,-18.0607,13.84,12.57,21,0,1.75,NA,1691038516
222,kolonia,50.9333,6.95,17.2,82,93,0.45,DE,1691038459
223,cabo san lucas,22.8909,-109.9124,31.45,67,35,2.68,MX,1691038253
224,amos,48.5669,-78.1162,13.17,99,100,2.84,CA,1691038457
225,coahuayana de hidalgo,18.7,-103.6583,26.22,93,100,0.89,MX,1691038519
226,port pirie,-33.1833,138.0167,22.13,39,74,9.17,AU,1691038520
227,san jose del guaviare,2.5729,-72.6459,21.89,85,4,1.0,CO,1691038521
228,sumbe,-11.2061,13.8437,19.34,93,6,0.41,AO,1691038521
229,awjilah,29.1081,21.2869,27.92,46,0,2.86,LY,1691038522
230,lata,40.1629,-8.3327,19.34,97,24,1.12,PT,1691038523
231,gadzhiyevo,69.2551,33.3362,19.74,65,13,4.73,RU,1691038523
232,jequie,-13.8575,-40.0836,16.21,98,4,0.53,BR,1691038281
233,bestobe,52.4994,73.0975,28.48,43,65,4.52,KZ,1691038524
234,kasongo-lunda,-6.4667,16.8167,18.06,41,37,0.17,CD,1691038525
235,saudarkrokur,65.7461,-19.6394,7.51,89,75,3.23,IS,1691038526
236,fortuna,40.5982,-124.1573,15.19,93,0,3.09,US,1691038526
237,aasiaat,68.7098,-52.8699,3.13,94,100,0.64,GL,1691038527
238,kayyerkan,69.3786,87.7439,20.72,42,16,2.71,RU,1691038528
239,carnarvon,-24.8667,113.6333,18.46,55,24,8.41,AU,1691038529
240,arraial do cabo,-22.9661,-42.0278,19.74,84,0,8.77,BR,1691038529
241,avarua,-21.2078,-159.775,23.03,94,75,4.63,CK,1691038530
242,san andres,12.5847,-81.7006,27.01,89,20,2.06,CO,1691038530
243,afaahiti,-17.75,-149.2833,25.93,69,4,4.5,PF,1691038531
244,san luis de la loma,17.2706,-100.8939,26.37,86,100,2.01,MX,1691038532
245,the pas,53.8251,-101.2541,20.01,73,0,2.57,CA,1691038532
246,kincardine,56.0667,-3.7167,14.4,86,99,2.03,GB,1691038533
247,port isabel,26.0734,-97.2086,30.02,81,0,6.17,US,1691038533
248,pachino,36.7186,15.0907,25.71,65,0,1.06,IT,1691038534
249,ust-nera,64.5667,143.2,20.4,34,68,1.94,RU,1691038534
250,praia da vitoria,38.7333,-27.0667,23.2,94,75,6.43,PT,1691038535
251,thayetmyo,19.3167,95.1833,29.02,81,93,3.71,MM,1691038536
252,utrik,11.2278,169.8474,28.59,76,10,5.67,MH,1691038537
253,fort st. john,56.2499,-120.8529,11.94,94,100,2.57,CA,1691038537
254,miri,4.4148,114.0089,28.08,83,40,4.12,MY,1691038538
255,ceerigaabo,10.6162,47.368,18.08,64,41,11.49,SO,1691038538
256,jieshi,22.8134,115.8257,30.98,69,94,5.64,CN,1691038539
257,comandante fontana,-25.3345,-59.6821,21.21,44,0,1.65,AR,1691038540
258,iskateley,67.6803,53.1512,23.85,55,2,3.38,RU,1691038540
259,saint croix,17.7397,-64.7388,26.36,85,13,4.15,VI,1691038541
260,dakhla,23.6848,-15.958,19.87,88,27,8.92,EH,1691038541
261,susuman,62.7833,148.1667,14.94,45,96,7.32,RU,1691038542
262,prado,-17.3411,-39.2208,19.72,84,40,2.0,BR,1691038542
263,karratha,-20.7377,116.8463,24.84,61,100,1.58,AU,1691038543
264,balykshi,47.0667,51.8667,31.0,27,0,4.0,KZ,1691038544
265,ciudad barrios,13.7667,-88.2667,17.17,99,100,1.39,SV,1691038544
266,novodvinsk,64.4165,40.8122,22.5,60,55,1.46,RU,1691038545
267,patur,20.45,76.9333,24.42,88,100,5.05,IN,1691038545
268,orchha,25.35,78.65,25.41,95,100,3.8,IN,1691038546
269,chernyshevsk,52.5243,117.0174,27.05,21,99,6.21,RU,1691038546
270,yeniseysk,58.4497,92.1703,25.25,68,87,2.49,RU,1691038547
271,al kut,32.5147,45.819,40.98,11,0,9.68,IQ,1691038548
272,mulayjah,27.271,48.4242,41.26,8,0,6.14,SA,1691038548
273,hami,42.8,93.45,36.82,13,0,2.69,CN,1691038549
